name,amenity,highway,barrier,landuse,lat,lon
Vishala,restaurant,,,,22.9936417,72.5357058
Rajvadu Restaurant,restaurant,,,,23.0042051,72.5397742
Bhatia Sweet Shop & Fast Food,fast_food,,,,30.7693916,76.7922462
Harithagiri,restaurant,,,,11.618265,76.0825062
Ginger Greens,restaurant,,,,13.0259923,77.6405519
Dosa Camp,fast_food,,,,13.0483946,77.5426609
Floating Restaurant,restaurant,,,,30.6380234,76.3347909
Petrol Pump,fuel,,,,13.6156819,79.3630087
Bharat Petroleum,fuel,,,,28.4518108,77.0752012
Nirula's,restaurant,,,,28.522664,77.1655706
Elevated Section/ Electronic City,,,toll_booth,,12.8419314,77.6754937
Cafe Mocha,restaurant,,,,17.4186379,78.4448824
Pizza Hut,restaurant,,,,13.0261391,77.6362268
Cefetaria,restaurant,,,,12.9864771,79.972295
Mens Mess,restaurant,,,,12.9884509,79.9698317
Ladies Mess,restaurant,,,,12.9871629,79.9690249
Punjabi Dhaba,restaurant,,,,12.992367,79.9854249
Indian Oil,fuel,,,,12.9918778,79.9857961
Hallimane,restaurant,,,,12.9955258,77.5717703
Reliance Petroleum,fuel,,,,11.4224358,75.9340804
Yokogowa Blue Star,,,,industrial,12.8490337,77.6631347
Domino's,fast_food,,,,12.8417186,77.6465145
Flextronics,,,,industrial,12.8409584,77.6636503
Jai Hind,restaurant,,,,18.954073,72.7976688
Vasantha Bhavan Nama veedu,restaurant,,,,13.0492377,80.207616
Adiga's,restaurant,,,,13.0055704,77.5713507
Fruit Shop on Greams Road,fast_food,,,,13.060307,80.2546115
Hajiali Juice Centre,fast_food,,,,13.0603857,80.254815
Sea Shell,fast_food,,,,13.0574642,80.2551093
Agni Resort,restaurant,,,,18.8626726,73.2751948
Hotel Runs,restaurant,,,,13.00636,80.2548775
Panchamruth,restaurant,,,,15.8424748,74.5030484
Friends Filling Station,fuel,,,,31.4262606,75.5096904
Indian Oil,fuel,,,,31.3059739,75.6319612
Haveli,restaurant,,,,31.2779076,75.6765536
Singla Resort,restaurant,,,,31.1686677,75.7734306
Guru Nanak Dhaba,restaurant,,,,31.0507882,75.7820595
Toll Plaza,,,toll_booth,,30.9889674,75.7906026
Baba Chiken,fast_food,,,,30.8897197,75.8306755
Mehfil,restaurant,,,,30.8960338,75.8374541
Dhillon Filling Station,fuel,,,,28.3461287,77.0675549
Sector-14 Market,parking,,,,28.4737292,77.0478919
Food Court,fast_food,,,,28.4939209,77.0932012
Gesmo,restaurant,,,,34.163847,77.5827582
Tarang Restaurant,restaurant,,,,17.1480916,73.2664746
Tea tent,fast_food,,,,34.5722527,77.4951874
Banan Republic Cavala,restaurant,,,,15.5614229,73.7521292
Britto's,restaurant,,,,15.5613469,73.7494583
Sussegad Souza,restaurant,,,,15.5440238,73.7645342
Dandey's Grill,restaurant,,,,15.5440652,73.8145735
Ice Cube,restaurant,,,,15.4641285,73.8061277
Shanbhag Restaurant,restaurant,,,,17.4030548,78.4764469
Bademiya Seekh Kebab Stall,fast_food,,,,18.9231497,72.8325111
Sangam,restaurant,,,,34.5516899,77.5476582
Tea Tent,fast_food,,,,33.8242501,77.6508538
Tea tent,fast_food,,,,34.1167511,77.4121523
Apple tree restaurant German Bakery,restaurant,,,,34.1649713,77.5840383
Lamayuru,restaurant,,,,34.1638737,77.5826315
Namkha hotel,restaurant,,,,34.1565584,77.5831857
Tea tent,fast_food,,,,34.0588456,77.4213283
Tea tent,fast_food,,,,34.0464236,77.3879321
Tea tent,fast_food,,,,34.0289946,77.3103081
Tea tent,fast_food,,,,34.0247914,77.2988109
Tea Tent,restaurant,,,,33.979439,77.2617696
Hamoursa Tea tent & Campsite,fast_food,,,,33.9417831,77.3304027
Tea tent,fast_food,,,,33.9576493,77.3003231
Tea tent,fast_food,,,,33.8971443,77.3938255
McDonald's,fast_food,,,,28.5500151,77.2511173
Subway,fast_food,,,,28.5500689,77.2510928
Indraprastha Gas Limited,fuel,,,,28.5848782,77.2602207
Indian Oil,fuel,,,,28.6175988,77.2497911
Indraprastha Gas Limited,fuel,,,,28.6186155,77.2493074
Indraprastha Gas Limited,fuel,,,,28.6818859,77.2297995
Indian Oil,fuel,,,,28.7314747,77.1839327
IBP Limited,fuel,,,,28.7561213,77.147976
Indian Oil,fuel,,,,28.7943045,77.1391309
Bharat Petroleum,fuel,,,,28.7962535,77.1390084
Bharat Pteroleum,fuel,,,,28.831095,77.1304498
Hindustan Petroleum,fuel,,,,28.8558765,77.1257097
Indian Oil,fuel,,,,28.8901304,77.1160838
Gulshan Dhaba,restaurant,,,,29.0337787,77.0711437
Pahalwan Dhaba,restaurant,,,,29.0338614,77.0711106
Ahuja Dhaba,restaurant,,,,29.033927,77.0710865
Indian Oil,fuel,,,,29.0449459,77.0679064
Amrik Sukhdev,restaurant,,,,29.0587033,77.0635163
Bharat Petroleum,fuel,,,,29.0609667,77.0642532
Indian Oil,fuel,,,,29.0655068,77.0629419
Pahalwan Dhaba,restaurant,,,,29.0312115,77.0729063
Indian Oil,fuel,,,,28.5855272,77.3092979
Indian Oil,fuel,,,,29.105987,77.7112326
Hindustan Petroleum,fuel,,,,19.2745442,72.8855876
Hard Rock Cafe,restaurant,,,,18.5387955,73.912781
Stone Water Grill,restaurant,,,,18.5383533,73.9126684
Hyderabad House,restaurant,,,,17.426299,78.4382663
Chutneys,restaurant,,,,17.4263318,78.4475017
Nisarg,restaurant,,,,18.5067094,73.8321992
Kolahoi Panorama,restaurant,,,,34.0326704,74.36701
Yo China,restaurant,,,,12.9504549,77.6999246
Raj Restaurant,restaurant,,,,28.4446821,77.0596627
Rajasthani Parotha Point,fast_food,,,,12.9514719,77.5774905
Arya Vysya Refreshments,fast_food,,,,12.9510029,77.5776381
Le Pizzeria,restaurant,,,,18.5396305,73.8833529
Asia Kitchen,restaurant,,,,18.538908,73.8752478
Mukul Petrol Pump,fuel,,,,18.53956,73.885683
Meenakshi Restaurant,restaurant,,,,9.9253602,78.1392733
Hotel Poonga Arya Bhavan,restaurant,,,,9.9298036,78.137144
Indian Oil,fuel,,,,12.9967798,77.5404068
Bharat Petroleum,fuel,,,,12.9966627,77.5400464
Guru Sagar Hotel,restaurant,,,,12.9951833,77.5396211
Haldiram,restaurant,,,,28.4012573,76.9886452
Ganesh Upahara,fast_food,,,,13.0468252,77.5494119
Taj Belson,restaurant,,,,17.4423612,78.4936495
Utsav Restaurant,restaurant,,,,17.4483317,78.4928226
Rangoli Cafe & Restaurant,restaurant,,,,32.2676207,77.1870793
Hav Mor,restaurant,,,,13.02807,77.5729018
Thai House,restaurant,,,,18.5690389,73.8321526
Khalapur Toll Plaza,,,toll_booth,,18.8009731,73.2852158
IOCL,fuel,,,,26.8707127,80.9630368
Indian Oil Petrol Pump,fuel,,,,26.8650887,80.996398
Indian Oil Petrol Station,fuel,,,,26.8720047,80.9964674
Indian Oil Petrol Station,fuel,,,,26.8857723,80.9925664
Poisson Rouge,restaurant,,,,15.5655465,73.7499477
Mayonna Creek Side Bar & Restaurant,restaurant,,,,15.5671618,73.7512831
St. Anthony's,restaurant,,,,15.5615172,73.7492435
Sunset Restaurant & Bar,restaurant,,,,15.563143,73.7479133
Hyderabad House,restaurant,,,,12.932679,77.6135844
McDonald's,fast_food,,,,12.9351086,77.611565
KFC,fast_food,,,,12.9343669,77.6107742
